"All caches cleared including FPC, Configuration, Layouts, Blocks HTML output, Translations, Collections Data, EAV types and attributes, Web Services Configuration and Web Services Configuration.","All caches cleared including FPC, Configuration, Layouts, Blocks HTML output, Translations, Collections Data, EAV types and attributes, Web Services Configuration and Web Services Configuration."
"FPC, Configuration, Layouts, Blocks HTML output, Translations, Collections Data, EAV types and attributes, Web Services Configuration & Web Services Configuration","FPC, Configuration, Layouts, Blocks HTML output, Translations, Collections Data, EAV types and attributes, Web Services Configuration & Web Services Configuration"
"Clear All Cache","Clear All Cache"
"Flush Magento Cache","Flush Magento Cache"
"Flush Cache Storage","Flush Cache Storage"
"The Magento cache storage has been flushed.","The Magento cache storage has been flushed."
"The cache storage has been flushed.","The cache storage has been flushed."
"Show Clear All Cache","Show Clear All Cache"
"Show Flush Magento Cache","Show Flush Magento Cache"
"Show Flush Cache Storage","Show Flush Cache Storage"
"Quick Clear Cache","Quick Clear Cache"